,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,5805,Avalanche,AVAX,avalanche,833,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,410139983.3194564,448476283.3194564,False,,11,,,,2025-01-03T18:50:00.000Z,42.11399041909357,564766837.782046,-0.9949,0.71776016,7.28306578,12.92349764,-22.36968136,83.38724392,65.07004698,17272631328.00278,0.4934,30143034694.44,,2025-01-03T18:50:00.000Z,,,,,,2025-01-03 18:50:40.630954
11,1975,Chainlink,LINK,chainlink,1910,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,638099970.4527867,1000000000.0,False,,12,,,,2025-01-03T18:50:00.000Z,23.79061930218578,860032510.6671363,-16.1245,0.39793472,6.87941488,5.28749669,-4.59247659,130.62411407,112.04476013,15180793473.778244,0.4334,23790619302.19,,2025-01-03T18:50:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-01-03 18:50:40.630954
12,11419,Toncoin,TON,toncoin,645,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2539248552.3899746,5118929363.06038,True,,13,,,,2025-01-03T18:50:00.000Z,5.797942843718674,178041057.8186816,0.9161,0.01807504,3.00635999,-0.64627794,-16.43410912,21.21909058,10.25670132,14722417972.752457,0.4204,29679259868.06,,2025-01-03T18:50:00.000Z,,,,,,2025-01-03 18:50:40.630954
13,20947,Sui,SUI,sui,502,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm']",10000000000.0,3009569341.533888,10000000000.0,False,,14,,,,2025-01-03T18:50:00.000Z,4.738756012209862,1092823694.355558,9.2364,0.90770996,8.99392549,13.06577066,30.23179336,155.50834739,171.42638616,14261614811.356186,0.4073,47387560122.1,,2025-01-03T18:50:00.000Z,,,,,,2025-01-03 18:50:40.630954
14,5994,Shiba Inu,SHIB,shiba-inu,924,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589255369576813.6,589508472868996.1,False,,15,,,,2025-01-03T18:50:00.000Z,2.416746402568271e-05,583306427.3267425,0.1437,0.38382164,6.0985339,10.72299519,-19.02001265,43.89959553,40.45038365,14240807946.188013,0.4066,14246924810.9,,2025-01-03T18:50:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2025-01-03 18:50:40.630954
0,1,Bitcoin,BTC,bitcoin,11854,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",21000000.0,19805196.0,19805196.0,False,,1,,,,2025-01-03T18:50:00.000Z,98618.99589657084,35238310902.20511,-21.6771,0.51593592,1.67388536,4.43053144,2.43600985,45.85163957,59.41302861,1953168543054.781,55.7887,2070998913827.99,,2025-01-03T18:50:00.000Z,,,,,,2025-01-03 18:51:42.090661
1,1027,Ethereum,ETH,ethereum,9783,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120475547.46975678,120475547.46975678,True,,2,,,,2025-01-03T18:51:00.000Z,3606.846869021266,21019336180.285435,-7.0846,0.77471552,4.36200443,7.64800854,-5.66619759,48.78492218,50.30666586,434536851184.9151,12.4071,434536851184.92,,2025-01-03T18:51:00.000Z,,,,,,2025-01-03 18:51:42.090661
2,52,XRP,XRP,xrp,1492,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",100000000000.0,57410227039.0,99986740020.0,False,,3,,,,2025-01-03T18:51:00.000Z,2.4524916516865005,5726612495.462229,-41.3648,0.00565917,2.1226075,13.23631165,0.7057565,381.68781047,362.55367671,140798102534.5741,4.0209,245249165168.65,,2025-01-03T18:51:00.000Z,,,,,,2025-01-03 18:51:42.090661
3,825,Tether USDt,USDT,tether,111364,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,137250612325.24301,141437091620.02292,True,,4,,,,2025-01-03T18:51:00.000Z,0.9996119505977957,95163655395.03732,-11.5137,0.03573782,0.06243973,0.10407926,-0.16300247,0.01812241,-0.03846735,137197352307.17802,3.9181,141382207041.17,,2025-01-03T18:51:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-01-03 18:51:42.090661
4,5426,Solana,SOL,solana,818,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,482915738.64896464,591480688.2398254,True,,5,,,,2025-01-03T18:51:00.000Z,218.18684031761313,3966075904.3546705,-9.1347,0.32406447,5.74797667,17.19858199,-5.20851191,36.97168201,53.37308082,105365859155.46385,3.0084,129053302475.93,,2025-01-03T18:51:00.000Z,,,,,,2025-01-03 18:51:42.090661
